IDtimetable,coursecode,IDprogramme,coursegrps,numbstudents,stdlevel,IDroom,roomname,examPERIOD,examDATE
4601,SOC204K,EXCHANGE PROGRAMME,NULL,1,200,41,FACULTY OF EDUCATION LECTURE THEATRE,08:30AM - 10:30AM,15-May-2013
4602,GHL210G,B. A. ( ARTS),NULL,6,200,41,FACULTY OF EDUCATION LECTURE THEATRE,08:30AM - 10:30AM,15-May-2013
4603,CHE209,BSC. ( CHEMISTRY),NULL,1,200,41,FACULTY OF EDUCATION LECTURE THEATRE,08:30AM - 10:30AM,15-May-2013
4604,EAS216E,B. ED. ( ARTS),NULL,2,200,41,FACULTY OF EDUCATION LECTURE THEATRE,08:30AM - 10:30AM,15-May-2013
4605,MAS206,B. A. ( COMM. STUDIES ),NULL,41,200,36,CAFETERIA ROOF TOP,12NOON - 14:00PM,14-May-2013
4606,AFS202,B. A. ( AFRICAN STUDIES),NULL,47,200,36,CAFETERIA ROOF TOP,12NOON - 14:00PM,14-May-2013
4607,EBS218,B. ED. ( BASIC. ED.),NULL,9,200,36,CAFETERIA ROOF TOP,12NOON - 14:00PM,14-May-2013
4608,HIS201,B. A. ( AFRICAN STUDIES),NULL,1,200,36,CAFETERIA ROOF TOP,12NOON - 14:00PM,14-May-2013
4609,HTM204,B. ED. ( HOME ECONS.),NULL,1,200,36,CAFETERIA ROOF TOP,12NOON - 14:00PM,14-May-2013
4610,ESC220,B. ED. ( SCIENCE),NULL,4,200,36,CAFETERIA ROOF TOP,12NOON - 14:00PM,14-May-2013
4611,ACD203,BSC. ( AGRIC. EXTENSION ),NULL,29,200,45,FACULTY OF EDUCATION LECTURE THEATRE,12NOON - 14:00PM,06-May-2013
4612,ESS233,B. ED. ( ARTS),NULL,1,200,36,CAFETERIA ROOF TOP,12NOON - 14:00PM,14-May-2013
4613,ACT214,BSC. ( ACTUARIAL SCI.),NULL,15,200,45,FACULTY OF EDUCATION LECTURE THEATRE,12NOON - 14:00PM,06-May-2013
4614,EHS262N,B. ED. ( HEALTH SCIENCES),NULL,10,200,45,FACULTY OF EDUCATION LECTURE THEATRE,12NOON - 14:00PM,06-May-2013
4615,GHL208G,B. A. ( ARTS),NULL,6,200,45,FACULTY OF EDUCATION LECTURE THEATRE,12NOON - 14:00PM,06-May-2013
4616,EVT224,B. ED. ( HOME ECONS.),NULL,19,200,38,CAFETERIA ROOF TOP,15:30PM - 17:30PM,24-May-2013
4617,ACR201N,BSC. ( AGRIC. EXTENSION ),NULL,29,200,38,CAFETERIA ROOF TOP,15:30PM - 17:30PM,24-May-2013
4618,CTN203,BSC ( INDUSTRIAL CHEMISTRY),NULL,29,200,42,FACULTY OF EDUCATION LECTURE THEATRE,08:30AM - 10:30AM,23-May-2013
4619,NUR102,BSC. ( NURSING),NULL,58,200,42,FACULTY OF EDUCATION LECTURE THEATRE,08:30AM - 10:30AM,23-May-2013
4620,OPT204,OD. ( OPTOMETRY),NULL,9,200,42,FACULTY OF EDUCATION LECTURE THEATRE,08:30AM - 10:30AM,23-May-2013
4621,HIS203,B. A. ( AFRICAN STUDIES),NULL,2,200,42,FACULTY OF EDUCATION LECTURE THEATRE,08:30AM - 10:30AM,23-May-2013
4622,CTN204,BSC ( INDUSTRIAL CHEMISTRY),NULL,29,200,34,"ASSEMBLY HALL ",08:30AM - 10:30AM,13-May-2013
4623,EBS202,B. ED. ( BASIC. ED.),NULL,12,200,34,"ASSEMBLY HALL ",08:30AM - 10:30AM,13-May-2013
4624,MED202,MB Ch. B.,NULL,54,200,34,"ASSEMBLY HALL ",08:30AM - 10:30AM,13-May-2013
4625,EBS206,B. ED. ( BASIC. ED.),NULL,6,200,19,LECTURE THEATER,15:30PM - 17:30PM,24-May-2013
